Commune,Id
Imindounit,656
M'zouda,658
Laattaouia Ech-Chaybia,662
Zaouia Annahlia,659
Jouala,660
Laatamna,1010
Tahelouante,663
Takoucht,664
Targante,665
Tidzi,666
Timizguida Ouftas,667
Méchouar Kasba,668
Annakhil,669
Gueliz,670
Marrakech Médina,671
Ménara,672
Sidi Youssef Ben Ali,673
Alouidane,674
Azemmour,675
Lbir Jdid,677
Sidi Bennour,678
Zemamra,679
Chtouka,680
Lamharza Essahel,683
Bouabout,684
Bouabout Amdlane,685
Ichamraren,686
Loued Lakhdar,687
M'zem Sanhaja,688
Ouled Dlim,694
Ouargui,689
Harbil,690
M'nabha,691
Laaounate,699
Ouahat Sidi Brahim,692
Oulad Hassoune,693
Laatatra,700
Agafay,695
Kridid,696
Laagagcha,697
Laamria,698
Kouzemt,701
Rahhala,702
Oulad Aarrad,703
Oulad Khallouf,704
Loudaya,707
Sidi Aissa Ben Slimane,705
Ait Imour,706
Saada,708
Oulad Amrane,713
Sid Zouine,709
Lmechrek,710
Metrane,711
M'tal,712
Oulad Boussaken,714
Oulad Si Bouhya,715
Tamda,716
Chaibate,718
Sidi Abdelmoumen,719
Taouloukoult,720
Sour El Aaz,721
Zemrane Charqia,723
Zemrane,722
Ait Hammou,724
Ait Taleb,725
Bouchane,726
Anfa,731
Jaafra,727
Labrikiyne,728
Souihla,729
Oulad Rahmoune,743
Tassoultante,730
El Maarif,732
Sidi Belyout,733
Al-Fida,734
Mers Sultan,735
Aîn Sebaâ,736
Assoukhour Assawda,737
Hay Mohammadi,738
Hay-Hassani,739
Aîn Chock,740
Sidi Bernoussi,741
Sidi Moumen,742
Sidi M'hamed Akhdim,750
Bni Hilal,751
Bni Tsiriss,752
Jabria,754
Khmis Ksiba,755
Koudiat Bni Dghough,756
El Kelaâ des Sraghna,759
Timlilt,757
Ben Guerir,758
Laattaouia,760
Oulad Hassoune Hamri,763
Sidi Rahhal,761
Sidi Abdallah,764
Oulad Aamer Tizmarine,762
Sidi Ali Labrahla,765
Sidi Mansour,767
Skhour Rhamna,768
Skoura Lhadra,769
Tamallalt,776
Akarma,770
Ben M'sick,771
Sbata,772
Moulay Rachid,773
Oulad Mtaa,774
Sidi Badhaj,775
Chtaiba,777
Eddachra,778
Bourrous,779
Jaidate,780
Lamharra,781
Sidi Othmane,782
Méchouar de Casablanca,783
Lahraouyine,798
Mediouna,784
Tizguine,785
Mohammedia,800
Aghbar,786
Asni,787
Ighil,788
Ain Harrouda,801
Ijoukak,789
Imgdal,790
El Aamria,791
El Marbouh,792
Ech-challalate,803
Errafiaya,793
Zghira,994
Nzalat Laadam,794
Oulad Imloul,795
Tit Mellil,796
Al Majjatia Oulad Taleb,797
Sidi Hajjaj Oued Hassar,799
Bni Yakhlef,802
Sidi Moussa Ben Ali,804
Sidi Bou Othmane,812
Ouirgane,805
Talat N'yaaqoub,806
Hiadna,807
Lounasda,808
Chbanate,997
Mayate,809
Ras Ain Rhamna,810
Sidi Boubker,1046
Sidi Moussa Majdoub,1542
Nouaceur,814
Bouskoura,815
Dar Bouazza,816
Oulad Salah,817
Khémisset,818
Rommani,819
Ait Daoud,826
Moulay Brahim,820
Ait Mimoune,831
Oukaimden,821
Ras El Ma,1044
Ourika,822
Oulad Aamer,823
Tameslohte,835
Oulad Bouali Loued,824
Tlauh,825
Aquermoud,841
El Hanchane,827
Essaouira,828
Talmest,829
Tahannaout,834
Tiflet,830
Ait Ouribel,832
Sti Fadma,833
Chichaoua,836
Oulad Cherki,837
Oulad El Garne,838
Ait Said,840
Tamanar,839
Had Dra,842
Kechoula,843
Korimate,844
Lagdadra,845
Mejji,847
Lahsinate,846
Meskala,848
Mouarid,849
Moulay Bouzarqtoune,850
Mzilate,851
Imintanoute,856
Ait Siberne,852
Ait Yadine,853
El Ganzra,854
Majmaa Tolba,855
Ahdil,857
Lamzoudia,859
Ait Hadi,858
Oulad Moumna,860
Saidate,861
Sid L'Mokhtar,862
Sidi M'hamed Dalil,864
Sidi Bouzid Arragragui,863
Oulad Massaoud,865
Oued Jemaa,1448
Oulad Msabbel,866
M'ramer,869
Oulad Sbih,867
Oulad M'rabet,870
M'khalif,868
Ounagha,871
Sidi Aissa Regragui,873
Sidi Abdeljalil,872
Sidi Ali El Korati,874
Oulad Zarrad,880
Sfassif,875
Sidi Allal Lamsadder,876
Afalla Issen,877
Ain Tazitounte,878
Oulad Yaacoub,879
Sidi Boulaalam,881
Sidi Ishaq,882
Sidi Laaroussi,883
Sidi M'hamed Ou Marzouq,884
Tafetachte,885
Bouqachmir,890
Takate,886
Sidi El Ghandour,887
Ait Ichou,888
Ait Ikkou,889
Houderrane,891
Maaziz,892
Oulmes,893
Tiddas,894
Ait Haddou Youssef,895
Irohalen,896
Lalla Aaziza,897
Sidi El Hattab,898
Sidi Moussa,899
Zaouiat Ben Hmida,900
Adaghas,901
Aglif,902
Ait Aissi Ihahane,904
Aguerd,903
Assais,905
Ain Sbit,906
Brachoua,1541
Ezzhiliga,908
Jemaat Moul Blad,909
Laghoualem,910
Marchouch,911
Moulay Driss Aghbal,912
Ain Johra,913
Mehdya,918
Ait Belkacem,914
Ait Bouyahya El Hajjama,915
Ait Malek,916
Kénitra,917
Sidi Taibi,919
Boumaiz,921
Azghar,920
Dar Bel Amri,922
Oulad H'cine,926
Kceibya,923
M'saada,924
Oulad Ben Hammadi,925
Sfafaa,927
Arbaoua,928
Beni Malek,929
Kariat Ben Aouda,930
Oued El Makhazine,931
Bahhara Oulad Ayad,932
Chouafaa,933
Lalla Mimouna,934
Sidi Slimane,935
Sidi Yahya El Gharb,936
Souk El Arbaa,937
Ameur Seflia,938
Ben Mansour,939
Mnasra,941
Haddada,940
Mograne,942
Abbou Lakhal,945
Oulad Slama,943
Talsint,944
Bni Guil,946
Maatarka,947
Tendrara,948
Ain Bni Mathar,949
Jerada,950
Touissit,951
Laaouinate,954
Gafait,952
Guenfouda,953
Lebkhata,955
Ras Asfour,956
Moulay Bousselham,957
Sidi Mohamed Lahmar,960
Sidi Allal Tazi,958
Sidi Boubker El Haj,959
Dar Gueddari,962
Had Kourt,963
Jorf El Melha,964
Mechra Bel Ksiri,965
Ouezzane,966
Sidi Kacem,967
Ain Dfali,968
Khnichet,970
Bni Oual,969
Lamrabih,971
Moulay Abdelkader,972
Oulad Nouel,973
Sidi Azzouz,976
Sidi Ahmed Ben Aissa,974
Sidi Ameur Al Hadi,975
Sidi M'hamed Chelh,977
Taoughilt,978
Al Haouafate,979
Dar Laaslouji,980
Ermilate,981
Nouirate,982
Sefsaf,983
Sidi Al Kamel,984
Bni Quolla,985
Lamjaara,986
Masmouda,987
Ounnana,989
Mzefroune,988
Sidi Ahmed Cherif,990
Sidi Bousber,991
Sidi Redouane,992
Teroual,993
Bab Tiouka,995
Bir Taleb,996
Selfat,998
Tekna,999
Zaggota,1000
Zirara,1001
Ahfir,1002
Ain Erreggada,1003
Aklim,1004
Berkane,1005
Saidia,1006
Sidi Slimane Echcharraa,1007
Aghbal,1008
Fezouane,1009
Boughriba,1012
Madagh,1011
Chouihia,1013
Rislane,1014
Sidi Bouhria,1015
Tafoughalt,1016
Zegzel,1017
Bouarfa,1018
Figuig,1019
Ain Chouater,1020
Bni Tadjite,1021
Bouanane,1022
Bouchaouene,1023
Tazaghine,1026
Boumerieme,1024
Oulad Boubker,1025
Bni Bouifrour,1027
Bni Chiker,1028
Bni Sidel Jbel,1029
Bni Sidel Louta,1030
Farkhana,1032
Iaazzanene,1033
Ihaddadene,1034
Arekmane,1039
Iksane,1035
Selouane,1036
Ayacha,1494
Afsou,1037
Al Barkanyene,1038
Bni Oukil Oulad M'hand,1040
Hassi Berkane,1041
Oulad Settout,1043
Oulad Daoud Zkhanine,1042
Tiztoutine,1045
Tiouli,1047
Bni Mathar,1048
Al Aaroui,1052
Mrija,1049
Oulad Ghziyel,1050
Bni Ansar,1053
Oulad Sidi Abdelhakem,1051
Nador,1054
Amejjaou,1059
Zaio,1055
Zeghanghane,1056
Ain Zohra,1057
Ait Mait,1058
Dar El Kebdani,1060
Driouch,1061
Sidi Boulenouar,1062
Sidi Moussa Lemhaya,1063
Debdou,1064
El Aioun Sidi Mellouk,1065
Ain Lehjer,1071
Taourirt,1066
Mechraa Hammadi,1072
El Atef,1067
Oulad M'hammed,1068
Sidi Ali Belkassem,1069
Sidi Lahsen,1070
Mestegmer,1073
Tancherfi,1074
Azlaf,1075
Assilah,1502
Ben Taieb,1076
Bni Marghnine,1077
Boudinar,1078
Iferni,1079
Ijermaouas,1080
Oulad Amghar,1084
Midar,1081
M'hajer,1082
Dar Bni Karrich,1516
Ouardana,1083
Tafersit,1085
Talilit,1086
Temsamane,1087
Trougout,1088
Tsaft,1089
Bni Drar,1090
Naima,1091
Oujda,1092
Ahl Angad,1093
Ain Sfa,1094
Bni Khaled,1095
Bsara,1096
Isly,1097
Oualili,1100
Mestferki,1098
N'zalat Bni Amar,1099
Sidi Abdallah Al Khayat,1101
Agourai,1102
Ain Taoujdate,1103
El Hajeb,1104
Sabaa Aiyoun,1105
Ait Ouikhalfen,1106
Ait Yaazem,1107
Jahjouh,1108
Ras Ijerri,1109
Tamchachate,1110
Ait Boubidmane,1111
Ait Harz Allah,1112
Ahl Oued Za,1113
Gteter,1114
Melg El Ouidane,1115
Meknès,1116
Al Machouar Stinia,1117
Boufakrane,1118
Toulal,1119
Moulay Driss Zerhoun,1120
Ouislane,1121
Ain Jemaa,1122
Ain Karma,1123
Ain Orma,1124
Dar Oum Soltane,1126
Oued Rommane,1127
Dkhissa,1128
Majjate,1129
M'haya,1130
Oued Jdida,1131
Sidi Slimane Moul Al Kifane,1132
Charqaoua,1133
Karmet Ben Salem,1134
Mrhassiyine,1135
Assoul,1136
Aoufous,1137
Chorfa M'daghra,1138
Er-Rteb,1139
Lkheng,1140
Oued Naam,1141
Laqsir,1144
En-Nzala,1142
Bitit,1143
Ait Bourzouine,1145
Ait Naamane,1146
Iqaddar,1147
Arfoud,1148
Boudnib,1149
Khénifra,1205
Errachidia,1150
Goulmima,1152
Er-Rich,1151
Aarab Sebbah Ziz,1157
Jorf,1153
Bni M'Hamed Sijelmass,1182
Moulay Ali Cherif,1154
Tinejdad,1155
Er-Rissani,1183
Aarab Sebbah Gheris,1156
Alnif,1158
Es Sifa,1159
Et Taous,1185
Fezna,1160
H'Ssyia,1161
M'Ssici,1162
Ait Hani,1163
Amellagou,1164
Aghbalou N'Kerdous,1165
Ferkla El Oulia,1166
Ferkla Es-Soufla,1167
Sebt Ait Rahou,1188
Gheris El Ouloui,1168
Gheris Es-Soufli,1169
Sidi Lamine,1191
Melaab,1170
Tadighoust,1171
Ait Yahya,1172
Oued Ifrane,1199
Amouguer,1173
Bou Azmou,1174
Imilchil,1175
Gourrama,1176
Guers Tiaallaline,1177
Guir,1178
M'Zizel,1179
Sidi El Makhfi,1200
Sidi Aayad,1180
Zaouiat Sidi Hamza,1181
Es Sfalat,1184
Sidi Ali,1186
Oum Rabia,1187
Sidi Amar,1189
Tigrigra,1201
Sidi Hcine,1190
Zouagha,1270
Aghbalou,1192
Agoudim,1193
Outerbat,1194
Aguelmous,1216
Azrou,1195
Ifrane,1196
El Hammam,1218
Ain Leuh,1197
Ben Smim,1198
Timahdite,1202
Dayat Aoua,1203
Lehri,1220
Tizguite,1204
Midelt,1206
M'rirt,1207
Ait Ishaq,1208
Ait Saadelli,1209
Missour,1231
El Kbab,1210
Kerrouchen,1211
Ouaoumana,1212
Sidi Yahya Ou Saad,1213
Ain Bida,1272
Tighassaline,1214
Aguelmam Azegza,1215
El Borj,1217
Had Bouhssoussen,1219
Moha Ou Hammou Zayani,1221
Moulay Bouazza,1222
Mibladen,1223
Sidi Yahya Ou Youssef,1224
Outat El Haj,1232
Tanourdi,1225
Sidi Harazem,1273
Tizi N'ghachou,1226
Mikkes,1281
Tounfite,1227
Zaida,1228
Boulemane,1229
Sebaa Rouadi,1282
Imouzzer Marmoucha,1230
Sebt Loudaya,1283
Ait Bazza,1233
Ain Bou Ali,1284
Ait El Mane,1234
Almis Marmoucha,1235
Ain Kansra,1285
El Mers,1236
Ait Ayach,1237
Ait Ben Yacoub,1238
Ribate El Kheir,1245
Ait Izdeg,1239
Amersid,1240
Anemzi,1241
Fritissa,1261
Boumia,1242
Itzer,1243
Imouzzer Kandar,1244
Sefrou,1246
Adrej,1247
Tissaf,1263
Ain Timguenai,1248
Agdal,1264
Bir Tam Tam,1249
Saiss,1266
Dar El Hamra,1250
Fès Médina,1267
Enjil,1251
Guigou,1252
Serghina,1253
Skoura M'daz,1254
Jnan El Ouard,1268
Talzemt,1255
El Mariniyine,1269
Ksabi Moulouya,1256
Ouizeght,1257
Sidi Boutayeb,1258
El Orjane,1259
Ermila,1260
Oulad Ali Youssef,1262
Méchouar Fès Jdid,1265
Oulad Tayeb,1271
Bhalil,1274
El Menzel,1275
Laanoussar,1276
Sidi Youssef Ben Ahmed,1277
Tazouta,1278
Laajajra,1286
Moulay Yacoub,1279
Louadaine,1287
Ain Chkef,1280
Oulad Mimoun,1288
Sidi Daoud,1289
Al Hoceima,1290
Imzouren,1292
Bni Bouayach,1291
Targuist,1293
Bni Boufrah,1294
Bni Gmil,1295
Senada,1297
Bni Gmil Maksouline,1296
Ait Kamra,1298
Ait Youssef Ou Ali,1299
Arbaa Taourirt,1300
Bni Abdallah,1301
Bni Hadifa,1302
Chakrane,1303
Imrabten,1304
Izemmouren,1305
Louta,1306
Nekkour,1307
Rouadi,1308
Tifarouine,1309
Zaouiat Sidi Abdelkader,1310
Abdelghaya Souahel,1311
Bni Ahmed Imoukzan,1312
Bni Ammart,1313
Bni Bchir,1314
Bni Bouchibet,1315
Bni Bounsar,1316
Issaguen,1317
Ketama,1318
Moulay Ahmed Cherif,1319
Sidi Boutmim,1320
Sidi Bouzineb,1321
Taghzout,1322
Ighzrane,1323
Mtarnagha,1324
Ait Sebaa Lajrouf,1329
Oulad Mkoudou,1325
Aghbalou Aqorar,1330
Ras Tabouda,1326
Tafajight,1327
Fennassa Bab El Hit,1336
Ain Cheggag,1328
Ahl Sidi Lahcen,1331
Khlalfa,1337
Azzaba,1332
Tamedit,1340
Kandar Sidi Khiar,1333
Bouadel,1334
Bouhouda,1335
Mezraoua,1338
Rghioua,1339
Zrizer,1341
Ain Aicha,1342
Ain Legdah,1343
Tamsaout,1344
Zarkt,1345
Ghafsai,1346
Karia Ba Mohamed,1347
Galaz,1352
Taounate,1348
Thar Es-Souk,1349
